"name","year","category"
"Adelotus brevis","1996","LR/nt"
"Adelotus brevis","1994","K"
"Adelphicos daryi","2014","EN"
"Adelphicos daryi","1996","EN"
"Adelphicos daryi","1994","I"
"Adetomyrma venatrix","1996","CR"
"Adrianichthys kruyti","2019","CR"
"Adrianichthys kruyti","1996","CR"
"Adrianichthys kruyti","1994","E"
"Adrianichthys kruyti","1990","E"
"Adrianichthys kruyti","1988","E"
"Advena campbelli","1996","EX"
"Advena charon","1996","EN"
"Aegialia concinna","1996","VU"
"Aegialia concinna","1994","I"
"Aegialia concinna","1990","I"
"Aegialia concinna","1988","I"
"Aegialia concinna","1986","I"
"Aegialia crescenta","1996","VU"
"Aegialia crescenta","1994","I"
"Aegialia crescenta","1990","I"
"Aegialia crescenta","1988","I"
"Aegialia crescenta","1986","I"
"Aegista inexpectata","1996","DD"
"Aegista intonsa","1996","DD"
"Handleyomys fuscatus","2016","LC"
"Handleyomys fuscatus","2008","LC"
"Handleyomys fuscatus","1996","LR/lc"
"Aepeomys lugens","2016","LC"
"Aepeomys lugens","2008","LC"
"Aepeomys lugens","1996","LR/lc"
"Aepyceros melampus","2016","LC"
"Aepyceros melampus","2008","LC"
"Aepyceros melampus","1996","LR/cd"
"Aeretes melanopterus","2016","NT"
"Aeretes melanopterus","2008","NT"
"Aeretes melanopterus","1996","LR/nt"
"Aeromys tephromelas","2016","DD"
"Aeromys tephromelas","2008","DD"
"Aeromys tephromelas","1996","LR/lc"
"Aeromys thomasi","2016","LC"
"Aeromys thomasi","2008","DD"
"Aeromys thomasi","1996","LR/lc"
"Pinheyschna meruensis","2016","LC"
"Pinheyschna meruensis","2010","LC"
"Pinheyschna meruensis","2006","LC"
"Pinheyschna meruensis","1996","EN"
"Pinheyschna meruensis","1994","R"
"Pinheyschna meruensis","1990","R"
"Pinheyschna meruensis","1988","R"
"Pinheyschna meruensis","1986","R"
"Aeshna persephone","2018","LC"
"Aeshna persephone","2007","LC"
"Aeshna persephone","1996","VU"
"Aeshna persephone","1994","R"
"Aeshna persephone","1990","R"
"Aeshna persephone","1988","R"
"Aeshna persephone","1986","R"
"Aeshna viridis","2006","LC"
"Aeshna viridis","1996","LR/nt"
"Aeshna viridis","1994","I"
"Aeshna viridis","1990","I"
"Aeshna viridis","1988","I"
"Aeshna viridis","1986","E"
"Aeshna williamsoniana","2006","DD"
"Aeshna williamsoniana","1996","EN"
"Aeshna williamsoniana","1994","I"
"Aeshna williamsoniana","1990","I"
"Aethalops alecto","2016","LC"
"Aethalops alecto","2008","LC"
"Aethalops alecto","1996","LR/nt"
"Aethalops alecto","1994","I"
"Aethalops alecto","1992","I"
"Aethomys silindensis","2017","DD"
"Aethomys silindensis","2008","DD"
"Aethomys silindensis","2004","VU"
"Aethomys silindensis","1996","LR/lc"
"Aethomys silindensis","1994","R"
"Aethomys bocagei","2016","LC"
"Aethomys bocagei","2008","LC"
"Aethomys bocagei","2004","LC"
"Aethomys bocagei","1996","LR/lc"
"Aethomys chrysophilus","2016","LC"
"Aethomys chrysophilus","2008","LC"
"Aethomys chrysophilus","2004","LC"
"Aethomys chrysophilus","1996","LR/lc"
"Micaelamys granti","2017","LC"
"Micaelamys granti","2016","LC"
"Micaelamys granti","2008","LC"
"Micaelamys granti","2004","LC"
"Micaelamys granti","2003","LC"
"Micaelamys granti","1996","LR/lc"
"Aethomys hindei","2016","LC"
"Aethomys hindei","2008","LC"
"Aethomys hindei","2004","LC"
"Aethomys hindei","1996","LR/lc"
"Aethomys kaiseri","2016","LC"
"Aethomys kaiseri","2008","LC"
"Aethomys kaiseri","2004","LC"
"Aethomys kaiseri","1996","LR/lc"
"Micaelamys namaquensis","2016","LC"
"Micaelamys namaquensis","2008","LC"
"Micaelamys namaquensis","2004","LC"
"Micaelamys namaquensis","1996","LR/lc"
"Aethomys nyikae","2016","LC"
"Aethomys nyikae","2008","LC"
"Aethomys nyikae","2004","LC"
"Aethomys nyikae","1996","LR/lc"
"Aethomys stannarius","2017","DD"
"Aethomys stannarius","2008","DD"
"Aethomys stannarius","2004","NT"
"Aethomys stannarius","1996","LR/nt"
"Aethomys thomasi","2016","LC"
"Aethomys thomasi","2008","LC"
"Aethomys thomasi","2004","LC"
"Aethomys thomasi","1996","LR/lc"
"Afrithelphusa leonensis","2008","DD"
"Afrithelphusa leonensis","1996","CR"
"Afrithelphusa gerhildae","2008","DD"
"Afrithelphusa gerhildae","1996","CR"
"Afrithelphusa afzelii","2008","DD"
"Afrithelphusa afzelii","1996","CR"
"Afrithelphusa monodosa","1996","CR"
"Afrithelphusa monodosa","1996","EN"
"Afrixalus aureus","2013","LC"
"Afrixalus aureus","2004","LC"
"Afrixalus aureus","1996","LR/lc"
"Afrixalus aureus","1994","R"
"Afrocyclops pauliani","1996","EX"
"Afroedura hawequensis","2018","LC"
"Afroedura hawequensis","2017","NT"
"Afroedura hawequensis","1996","LR/nt"
"Afroedura hawequensis","1994","R"
"Africanogyrus rodriguezensis","2016","VU"
"Africanogyrus rodriguezensis","1996","EN"
"Africanogyrus starmuehlneri","2016","EN"
"Africanogyrus starmuehlneri","1996","EN"
"Agabus clypealis","1996","EN"
"Agabus clypealis","1994","I"
"Agabus discicollis","1996","EN"
"Agabus discicollis","1994","E"
"Agabus hozgargantae","1996","EN"
"Agabus hozgargantae","1994","E"
"Agathothoma finalis","1996","DD"
"Aglaodiaptomus kingsburyae","1996","VU"
"Aglaodiaptomus marshianus","1996","VU"
"Agonostomus telfairii","2016","LC"
"Agonostomus telfairii","1996","LR/lc"
"Cuniculus paca","2016","LC"
"Cuniculus paca","2008","LC"
"Cuniculus paca","1996","LR/lc"
"Cuniculus taczanowskii","2016","NT"
"Cuniculus taczanowskii","2008","NT"
"Cuniculus taczanowskii","1996","LR/nt"
"Plebejus zullichi","2015","EN"
"Plebejus zullichi","2010","EN"
"Plebejus zullichi","1996","EN"
"Plebejus zullichi","1994","V"
"Agrotis crinigera","1996","EX"
"Agrotis crinigera","1994","Ex?"
"Agrotis crinigera","1990","Ex?"
"Agrotis crinigera","1988","Ex?"
"Agrotis crinigera","1986","Ex?"
"Agrotis fasciata","1996","EX"
"Agrotis fasciata","1994","Ex"
"Agrotis fasciata","1990","Ex"
"Agrotis fasciata","1988","Ex"
"Agrotis fasciata","1986","Ex"
"Agrotis kerri","1996","EX"
"Agrotis kerri","1994","Ex?"
"Agrotis kerri","1990","Ex?"
"Agrotis kerri","1988","Ex?"
"Agrotis kerri","1986","Ex?"
"Agrotis laysanensis","1996","EX"
"Agrotis laysanensis","1994","Ex"
"Agrotis laysanensis","1990","Ex"
"Agrotis laysanensis","1988","Ex"
"Agrotis laysanensis","1986","Ex"
"Agrotis photophila","1996","EX"
"Agrotis photophila","1994","Ex"
"Agrotis photophila","1990","Ex"
"Agrotis photophila","1988","Ex"
"Agrotis photophila","1986","Ex"
"Agrotis procellaris","1996","EX"
"Agrotis procellaris","1994","Ex"
"Agrotis procellaris","1990","Ex"
"Agrotis procellaris","1988","Ex"
"Agrotis procellaris","1986","Ex"
"Ailuropoda melanoleuca","2016","VU"
"Ailuropoda melanoleuca","2008","EN"
"Ailuropoda melanoleuca","1996","EN"
"Ailuropoda melanoleuca","1994","E"
"Ailuropoda melanoleuca","1990","E"
"Ailuropoda melanoleuca","1988","R"
"Ailuropoda melanoleuca","1986","R"
"Ailuropoda melanoleuca","1965",NA
"Ailurus fulgens","2015","EN"
"Ailurus fulgens","2008","VU"
"Ailurus fulgens","1996","EN"
"Ailurus fulgens","1994","V"
"Ailurus fulgens","1990","K"
"Ailurus fulgens","1988","K"
"Akodon aerosus","2016","LC"
"Akodon aerosus","2008","LC"
"Akodon aerosus","1996","LR/lc"
"Akodon affinis","2016","LC"
"Akodon affinis","2008","LC"
"Akodon affinis","1996","LR/lc"
"Akodon albiventer","2016","LC"
"Akodon albiventer","2008","LC"
"Akodon albiventer","1996","LR/lc"
"Akodon azarae","2016","LC"
"Akodon azarae","2008","LC"
"Akodon azarae","1996","LR/lc"
"Neomicroxus bogotensis","2016","LC"
"Neomicroxus bogotensis","2008","LC"
"Neomicroxus bogotensis","1996","LR/lc"
"Akodon boliviensis","2016","LC"
"Akodon boliviensis","2008","LC"
"Akodon boliviensis","1996","LR/lc"
"Akodon budini","2016","LC"
"Akodon budini","2008","LC"
"Akodon budini","1996","LR/lc"
"Akodon cursor","2016","LC"
"Akodon cursor","2008","LC"
"Akodon cursor","1996","LR/lc"
"Akodon dayi","2016","LC"
"Akodon dayi","2008","LC"
"Akodon dayi","1996","LR/lc"
"Akodon fumeus","2016","LC"
"Akodon fumeus","2008","LC"
"Akodon fumeus","1996","LR/lc"
"Abrothrix illutea","2016","LC"
"Abrothrix illutea","2008","NT"
"Abrothrix illutea","1996","LR/lc"
"Akodon iniscatus","2016","LC"
"Akodon iniscatus","2008","LC"
"Akodon iniscatus","1996","LR/lc"
"Akodon juninensis","2016","LC"
"Akodon juninensis","2008","LC"
"Akodon juninensis","1996","LR/lc"
"Deltamys kempi","2016","LC"
"Deltamys kempi","2008","LC"
"Deltamys kempi","1996","LR/lc"
"Akodon kofordi","2016","LC"
"Akodon kofordi","2008","LC"
"Akodon kofordi","1996","LR/lc"
"Abrothrix lanosus","2016","LC"
"Abrothrix lanosus","2008","LC"
"Abrothrix lanosus","1996","LR/lc"
"Neomicroxus latebricola","2019","EN"
"Neomicroxus latebricola","2016","VU"
"Neomicroxus latebricola","2008","VU"
"Neomicroxus latebricola","1996","LR/lc"
"Akodon lindberghi","2019","DD"
"Akodon lindberghi","2008","DD"
"Akodon lindberghi","1996","VU"
"Abrothrix longipilis","2016","LC"
"Abrothrix longipilis","2008","LC"
"Abrothrix longipilis","1996","LR/lc"
"Akodon mimus","2016","LC"
"Akodon mimus","2008","LC"
"Akodon mimus","1996","LR/lc"
"Akodon molinae","2016","LC"
"Akodon molinae","2008","LC"
"Akodon molinae","1996","LR/lc"
"Akodon mollis","2016","LC"
"Akodon mollis","2008","LC"
"Akodon mollis","1996","LR/lc"
"Thaptomys nigrita","2017","LC"
"Thaptomys nigrita","2008","LC"
"Thaptomys nigrita","1996","LR/lc"
"Abrothrix olivaceus","2017","LC"
"Abrothrix olivaceus","2008","LC"
"Abrothrix olivaceus","1996","LR/lc"
"Akodon orophilus","2016","LC"
"Akodon orophilus","2008","LC"
"Akodon orophilus","1996","LR/lc"
"Akodon lutescens","2016","LC"
"Akodon lutescens","2008","LC"
"Akodon lutescens","1996","LR/lc"
"Abrothrix sanborni","2018","NT"
"Abrothrix sanborni","2008","NT"
"Abrothrix sanborni","1996","LR/lc"
"Akodon sanctipaulensis","2019","DD"
"Akodon sanctipaulensis","2008","DD"
"Akodon sanctipaulensis","1996","LR/nt"
"Akodon serrensis","2016","LC"
"Akodon serrensis","2008","LC"
"Akodon serrensis","1996","LR/lc"
"Akodon siberiae","2018","NT"
"Akodon siberiae","2008","NT"
"Akodon siberiae","1996","VU"
"Akodon simulator","2016","LC"
