"name","result.year","result.code","result.category"
"Ouratea jamaicensis","1998","LR/nt","Lower Risk/near threatened"
"Ouratea jamaicensis","1998","R","Rare"
"Oxandra leucodermis","1998","LR/nt","Lower Risk/near threatened"
"Pachyanthus pedicellatus","1998","LR/nt","Lower Risk/near threatened"
"Pachyanthus pedicellatus","1998","nt","Not Threatened"
"Pachypodium namaquanum","1998","LR/nt","Lower Risk/near threatened"
"Pachypodium namaquanum","1998","V","Vulnerable"
"Paladilhia hungarica","1996","LR/nt","Lower Risk/near threatened"
"Paladilhia hungarica","1994","R","Rare"
"Pandanus papenooensis","1998","LR/nt","Lower Risk/near threatened"
"Pangshura smithii","2000","LR/nt","Lower Risk/near threatened"
"Panoquina errans","1996","LR/nt","Lower Risk/near threatened"
"Panoquina errans","1994","V","Vulnerable"
"Panoquina errans","1990","V","Vulnerable"
"Panoquina errans","1988","V","Vulnerable"
"Panoquina errans","1986","V","Vulnerable"
"Panoquina errans","1983","V","Vulnerable"
"Papilio benguetanus","1996","LR/nt","Lower Risk/near threatened"
"Papilio benguetanus","1994","V","Vulnerable"
"Papilio benguetanus","1990","V","Vulnerable"
"Papilio benguetanus","1988","V","Vulnerable"
"Papilio benguetanus","1986","V","Vulnerable"
"Papilio benguetanus","1985","V","Vulnerable"
"Papilio grosesmithi","1996","LR/nt","Lower Risk/near threatened"
"Papilio grosesmithi","1994","R","Rare"
"Papilio grosesmithi","1990","R","Rare"
"Papilio grosesmithi","1988","R","Rare"
"Papilio grosesmithi","1986","R","Rare"
"Papilio grosesmithi","1985","R","Rare"
"Papilio himeros","1996","LR/nt","Lower Risk/near threatened"
"Papilio himeros","1994","V","Vulnerable"
"Papilio himeros","1990","V","Vulnerable"
"Papilio himeros","1988","V","Vulnerable"
"Papilio himeros","1986","V","Vulnerable"
"Papilio himeros","1985","V","Vulnerable"
"Papilio manlius","1996","LR/nt","Lower Risk/near threatened"
"Papilio manlius","1994","I","Indeterminate"
"Papilio manlius","1990","I","Indeterminate"
"Papilio manlius","1988","I","Indeterminate"
"Papilio manlius","1986","I","Indeterminate"
"Papilio manlius","1985","I","Indeterminate"
"Papilio maraho","1996","LR/nt","Lower Risk/near threatened"
"Papilio maraho","1994","V","Vulnerable"
"Papilio maraho","1990","V","Vulnerable"
"Papilio maraho","1988","V","Vulnerable"
"Papilio maraho","1986","V","Vulnerable"
"Papilio maraho","1985","V","Vulnerable"
"Papilio sjoestedti","1996","LR/nt","Lower Risk/near threatened"
"Papilio sjoestedti","1994","R","Rare"
"Papilio sjoestedti","1990","R","Rare"
"Papilio sjoestedti","1988","R","Rare"
"Papilio sjoestedti","1986","R","Rare"
"Papilio sjoestedti","1985","R","Rare"
"Papuexul bidwilli","1996","LR/nt","Lower Risk/near threatened"
"Papuexul bidwilli","1994","R","Rare"
"Parantica albata","1996","LR/nt","Lower Risk/near threatened"
"Parantica albata","1994","R","Rare"
"Parantica albata","1990","R","Rare"
"Parantica albata","1988","R","Rare"
"Parantica albata","1986","R","Rare"
"Parantica nilgiriensis","1996","LR/nt","Lower Risk/near threatened"
"Parantica nilgiriensis","1994","R","Rare"
"Parantica nilgiriensis","1990","R","Rare"
"Parantica nilgiriensis","1988","R","Rare"
"Parantica nilgiriensis","1986","R","Rare"
"Parantica pseudomelaneus","1996","LR/nt","Lower Risk/near threatened"
"Parantica pseudomelaneus","1994","R","Rare"
"Parantica pseudomelaneus","1990","R","Rare"
"Parantica pseudomelaneus","1988","R","Rare"
"Parantica pseudomelaneus","1986","R","Rare"
"Parantica taprobana","1996","LR/nt","Lower Risk/near threatened"
"Parantica taprobana","1994","R","Rare"
"Parantica taprobana","1990","R","Rare"
"Parantica taprobana","1988","R","Rare"
"Parantica taprobana","1986","R","Rare"
"Parantica tityoides","1996","LR/nt","Lower Risk/near threatened"
"Parantica tityoides","1994","R","Rare"
"Parantica tityoides","1990","R","Rare"
"Parantica tityoides","1988","R","Rare"
"Parantica tityoides","1986","R","Rare"
"Parathesis seibertii","1998","LR/nt","Lower Risk/near threatened"
"Paravitrea clappi","1996","LR/nt","Lower Risk/near threatened"
"Paravitrea clappi","1994","I","Indeterminate"
"Paravitrea clappi","1990","I","Indeterminate"
"Paravitrea clappi","1988","I","Indeterminate"
"Paravitrea clappi","1986","I","Indeterminate"
"Parides burchellanus","1996","LR/nt","Lower Risk/near threatened"
"Parides burchellanus","1994","V","Vulnerable"
"Parides burchellanus","1990","V","Vulnerable"
"Parides burchellanus","1988","V","Vulnerable"
"Parides burchellanus","1986","V","Vulnerable"
"Parides burchellanus","1985","V","Vulnerable"
"Parkinsonia raimondoi","1998","LR/nt","Lower Risk/near threatened"
"Parkinsonia raimondoi","1998","R","Rare"
"Paryphanta busbyi","1996","LR/nt","Lower Risk/near threatened"
