"name","result.year","state","TSFO","change.status"
"Acanthochelys pallidipectoris",2016,4,20,"G"
"Acanthocobitis urophthalmus",1994,3,0,NA
"Acanthocobitis urophthalmus",1996,2,2,NA
"Acanthodactylus arabicus",2010,1,0,NA
"Acanthodactylus arabicus",2012,1,2,NA
"Acanthodactylus erythrurus",2006,1,0,NA
"Acanthodactylus erythrurus",2009,1,3,NA
"Acanthodactylus haasi",2010,1,0,NA
"Acanthodactylus haasi",2012,1,2,NA
"Acanthodactylus schreiberi",2006,4,0,NA
"Acanthodactylus schreiberi",2009,4,3,NA
"Acanthopagrus berda",2014,1,0,NA
"Acanthopagrus berda",2017,1,3,NA
"Acanthopale decempedalis",2004,3,0,NA
"Acanthopale decempedalis",2014,3,10,NA
"Acanthophis rugosus",2010,1,0,NA
"Acanthophis rugosus",2015,1,5,NA
"Acanthoptila nipalensis",1994,1,0,NA
"Acanthoptila nipalensis",2000,1,6,NA
"Acanthoptila nipalensis",2004,1,10,NA
"Acanthoptila nipalensis",2008,1,14,NA
"Acanthoptila nipalensis",2009,1,15,NA
"Acanthoptila nipalensis",2012,1,18,NA
"Acanthoptila nipalensis",2016,1,22,NA
"Acanthorhynchus superciliosus",1994,1,0,NA
"Acanthorhynchus superciliosus",2000,1,6,NA
"Acanthorhynchus superciliosus",2004,1,10,NA
"Acanthorhynchus superciliosus",2008,1,14,NA
"Acanthorhynchus superciliosus",2009,1,15,NA
"Acanthorhynchus superciliosus",2012,1,18,NA
"Acanthorhynchus superciliosus",2016,1,22,NA
"Acanthorhynchus tenuirostris",1994,1,0,NA
"Acanthorhynchus tenuirostris",2000,1,6,NA
"Acanthorhynchus tenuirostris",2004,1,10,NA
"Acanthorhynchus tenuirostris",2008,1,14,NA
"Acanthorhynchus tenuirostris",2009,1,15,NA
"Acanthorhynchus tenuirostris",2012,1,18,NA
"Acanthorhynchus tenuirostris",2016,1,22,NA
"Acanthornis magna",1994,1,0,NA
"Acanthornis magna",2000,1,6,NA
"Acanthornis magna",2004,1,10,NA
"Acanthornis magna",2008,1,14,NA
"Acanthornis magna",2009,1,15,NA
"Acanthornis magna",2012,1,18,NA
"Acanthornis magna",2016,1,22,NA
"Acanthornis magna",2017,1,23,NA
"Acanthurus gahhm",2010,0,0,NA
"Acanthurus gahhm",2012,1,2,"N"
"Acantopsis spectabilis",2011,0,0,NA
"Acantopsis spectabilis",2012,0,1,NA
"Accipiter albogularis",1994,1,0,NA
"Accipiter albogularis",2000,1,6,NA
"Accipiter albogularis",2004,1,10,NA
"Accipiter albogularis",2008,1,14,NA
"Accipiter albogularis",2009,1,15,NA
"Accipiter albogularis",2012,1,18,NA
"Accipiter albogularis",2016,1,22,NA
"Accipiter badius",1994,1,0,NA
"Accipiter badius",2000,1,6,NA
"Accipiter badius",2004,1,10,NA
"Accipiter badius",2008,1,14,NA
"Accipiter badius",2009,1,15,NA
"Accipiter badius",2012,1,18,NA
"Accipiter badius",2015,1,21,NA
"Accipiter badius",2016,1,22,NA
"Accipiter bicolor",1994,1,0,NA
"Accipiter bicolor",2000,1,6,NA
"Accipiter bicolor",2004,1,10,NA
"Accipiter bicolor",2008,1,14,NA
"Accipiter bicolor",2009,1,15,NA
"Accipiter bicolor",2012,1,18,NA
"Accipiter bicolor",2016,1,22,NA
"Accipiter brachyurus",1994,3,0,NA
"Accipiter brachyurus",1996,3,2,NA
"Accipiter brachyurus",2000,3,6,NA
"Accipiter brachyurus",2004,3,10,NA
"Accipiter brachyurus",2008,3,14,NA
"Accipiter brachyurus",2012,3,18,NA
"Accipiter brachyurus",2016,3,22,NA
"Accipiter brevipes",1994,1,0,NA
"Accipiter brevipes",2000,1,6,NA
"Accipiter brevipes",2004,1,10,NA
"Accipiter brevipes",2008,1,14,NA
"Accipiter brevipes",2009,1,15,NA
"Accipiter brevipes",2012,1,18,NA
"Accipiter brevipes",2013,1,19,NA
"Accipiter brevipes",2015,1,21,NA
"Accipiter brevipes",2016,1,22,NA
"Accipiter butleri",1994,2,0,NA
"Accipiter butleri",2000,2,6,NA
"Accipiter butleri",2002,3,8,NA
"Accipiter butleri",2004,3,10,NA
"Accipiter butleri",2008,3,14,NA
"Accipiter butleri",2012,3,18,NA
"Accipiter butleri",2016,3,22,NA
"Accipiter castanilius",1994,1,0,NA
"Accipiter castanilius",2000,1,6,NA
"Accipiter castanilius",2004,1,10,NA
"Accipiter castanilius",2008,1,14,NA
"Accipiter castanilius",2009,1,15,NA
"Accipiter castanilius",2012,1,18,NA
"Accipiter castanilius",2016,1,22,NA
"Accipiter cirrocephalus",1994,1,0,NA
"Accipiter cirrocephalus",2000,1,6,NA
"Accipiter cirrocephalus",2004,1,10,NA
"Accipiter cirrocephalus",2008,1,14,NA
"Accipiter cirrocephalus",2009,1,15,NA
"Accipiter cirrocephalus",2012,1,18,NA
"Accipiter cirrocephalus",2016,1,22,NA
"Accipiter collaris",1994,2,0,NA
"Accipiter collaris",2000,2,6,NA
"Accipiter collaris",2004,2,10,NA
"Accipiter collaris",2008,2,14,NA
"Accipiter collaris",2012,2,18,NA
"Accipiter collaris",2016,2,22,NA
"Accipiter cooperii",1994,1,0,NA
"Accipiter cooperii",2000,1,6,NA
"Accipiter cooperii",2004,1,10,NA
"Accipiter cooperii",2008,1,14,NA
"Accipiter cooperii",2009,1,15,NA
"Accipiter cooperii",2012,1,18,NA
"Accipiter cooperii",2016,1,22,NA
"Accipiter erythrauchen",1994,1,0,NA
"Accipiter erythrauchen",2000,1,6,NA
"Accipiter erythrauchen",2004,1,10,NA
"Accipiter erythrauchen",2008,1,14,NA
"Accipiter erythrauchen",2009,1,15,NA
"Accipiter erythrauchen",2012,1,18,NA
"Accipiter erythrauchen",2014,2,20,"G"
"Accipiter erythrauchen",2016,2,22,NA
"Accipiter erythropus",1994,1,0,NA
"Accipiter erythropus",2000,1,6,NA
"Accipiter erythropus",2004,1,10,NA
"Accipiter erythropus",2008,1,14,NA
"Accipiter erythropus",2009,1,15,NA
"Accipiter erythropus",2012,1,18,NA
"Accipiter erythropus",2016,1,22,NA
"Accipiter fasciatus",1994,1,0,NA
"Accipiter fasciatus",2000,1,6,NA
"Accipiter fasciatus",2004,1,10,NA
"Accipiter fasciatus",2008,1,14,NA
"Accipiter fasciatus",2009,1,15,NA
"Accipiter fasciatus",2012,1,18,NA
"Accipiter fasciatus",2016,1,22,NA
"Accipiter francesiae",1994,1,0,NA
"Accipiter francesiae",2000,1,6,NA
"Accipiter francesiae",2004,1,10,NA
"Accipiter francesiae",2008,1,14,NA
"Accipiter francesiae",2009,1,15,NA
"Accipiter francesiae",2012,1,18,NA
"Accipiter francesiae",2016,1,22,NA
"Accipiter gentilis",1994,1,0,NA
"Accipiter gentilis",2000,1,6,NA
"Accipiter gentilis",2004,1,10,NA
"Accipiter gentilis",2008,1,14,NA
"Accipiter gentilis",2009,1,15,NA
"Accipiter gentilis",2012,1,18,NA
"Accipiter gentilis",2013,1,19,NA
"Accipiter gentilis",2015,1,21,NA
"Accipiter gentilis",2016,1,22,NA
"Accipiter griseiceps",1994,1,0,NA
"Accipiter griseiceps",2000,1,6,NA
"Accipiter griseiceps",2004,1,10,NA
"Accipiter griseiceps",2008,1,14,NA
"Accipiter griseiceps",2009,1,15,NA
"Accipiter griseiceps",2012,1,18,NA
"Accipiter griseiceps",2016,1,22,NA
"Accipiter gularis",1994,1,0,NA
"Accipiter gularis",2000,1,6,NA
"Accipiter gularis",2004,1,10,NA
"Accipiter gularis",2008,1,14,NA
"Accipiter gularis",2009,1,15,NA
"Accipiter gularis",2012,1,18,NA
"Accipiter gularis",2015,1,21,NA
"Accipiter gularis",2016,1,22,NA
"Accipiter gundlachi",1994,4,0,NA
"Accipiter gundlachi",1996,4,2,NA
"Accipiter gundlachi",2000,4,6,NA
"Accipiter gundlachi",2004,4,10,NA
"Accipiter gundlachi",2008,4,14,NA
"Accipiter gundlachi",2012,4,18,NA
"Accipiter gundlachi",2015,4,21,NA
"Accipiter gundlachi",2016,4,22,NA
"Accipiter gundlachi",2017,4,23,NA
"Accipiter haplochrous",1994,1,0,NA
"Accipiter haplochrous",2000,2,6,NA
"Accipiter haplochrous",2004,2,10,NA
"Accipiter haplochrous",2008,2,14,NA
"Accipiter haplochrous",2012,2,18,NA
"Accipiter haplochrous",2016,2,22,NA
"Accipiter henicogrammus",1994,1,0,NA
"Accipiter henicogrammus",2000,1,6,NA
"Accipiter henicogrammus",2004,1,10,NA
"Accipiter henicogrammus",2008,1,14,NA
"Accipiter henicogrammus",2009,1,15,NA
"Accipiter henicogrammus",2012,1,18,NA
"Accipiter henicogrammus",2014,2,20,"N"
"Accipiter henicogrammus",2016,2,22,NA
"Accipiter henstii",1994,2,0,NA
"Accipiter henstii",2000,2,6,NA
"Accipiter henstii",2004,2,10,NA
"Accipiter henstii",2008,2,14,NA
"Accipiter henstii",2012,2,18,NA
"Accipiter henstii",2016,2,22,NA
"Accipiter hiogaster",2014,1,0,NA
"Accipiter hiogaster",2016,1,2,NA
"Accipiter imitator",1994,4,0,NA
"Accipiter imitator",1996,4,2,NA
"Accipiter imitator",2000,3,6,NA
"Accipiter imitator",2004,3,10,NA
"Accipiter imitator",2008,3,14,NA
"Accipiter imitator",2012,3,18,NA
"Accipiter imitator",2016,3,22,NA
"Accipiter luteoschistaceus",1994,2,0,NA
"Accipiter luteoschistaceus",2000,3,6,NA
"Accipiter luteoschistaceus",2004,3,10,NA
"Accipiter luteoschistaceus",2008,3,14,NA
"Accipiter luteoschistaceus",2012,3,18,NA
"Accipiter luteoschistaceus",2016,3,22,NA
"Accipiter madagascariensis",1994,2,0,NA
"Accipiter madagascariensis",2000,2,6,NA
"Accipiter madagascariensis",2004,2,10,NA
"Accipiter madagascariensis",2008,2,14,NA
"Accipiter madagascariensis",2012,2,18,NA
"Accipiter madagascariensis",2016,2,22,NA
"Accipiter melanochlamys",1994,1,0,NA
"Accipiter melanochlamys",2000,1,6,NA
"Accipiter melanochlamys",2004,1,10,NA
"Accipiter melanochlamys",2008,1,14,NA
"Accipiter melanochlamys",2009,1,15,NA
"Accipiter melanochlamys",2012,1,18,NA
"Accipiter melanochlamys",2016,1,22,NA
"Accipiter melanoleucus",1994,1,0,NA
"Accipiter melanoleucus",2000,1,6,NA
"Accipiter melanoleucus",2004,1,10,NA
"Accipiter melanoleucus",2008,1,14,NA
"Accipiter melanoleucus",2009,1,15,NA
"Accipiter melanoleucus",2012,1,18,NA
"Accipiter melanoleucus",2016,1,22,NA
"Accipiter meyerianus",1994,1,0,NA
"Accipiter meyerianus",2000,1,6,NA
"Accipiter meyerianus",2004,1,10,NA
"Accipiter meyerianus",2008,1,14,NA
"Accipiter meyerianus",2009,1,15,NA
"Accipiter meyerianus",2012,1,18,NA
"Accipiter meyerianus",2016,1,22,NA
