"name","result.year","result.code","result.category"
"Boophis majori","2016","VU","Vulnerable"
"Boophis majori","2008","NT","Near Threatened"
"Boophis majori","2004","NT","Near Threatened"
"Boophis miniatus","2016","VU","Vulnerable"
"Boophis miniatus","2008","LC","Least Concern"
"Boophis miniatus","2004","LC","Least Concern"
"Boophis popi","2015","VU","Vulnerable"
"Boophis spinophis","2015","VU","Vulnerable"
"Boophis ulftunni","2016","VU","Vulnerable"
"Boophis vittatus","2016","VU","Vulnerable"
"Boophis vittatus","2008","LC","Least Concern"
"Boophis vittatus","2004","LC","Least Concern"
"Borassodendron machadonis","1998","I","Indeterminate"
"Borassodendron machadonis","1998","VU","Vulnerable"
"Borneophrys edwardinae","2004","VU","Vulnerable"
"Boroda expatria","1996","VU","Vulnerable"
"Boronella koniamboensis","1998","V","Vulnerable"
"Boronella koniamboensis","1998","VU","Vulnerable"
"Boscia arabica","1998","VU","Vulnerable"
"Bos gaurus","2016","VU","Vulnerable"
"Bos gaurus","2008","VU","Vulnerable"
"Bos gaurus","2000","VU","Vulnerable"
"Bos gaurus","1996","VU","Vulnerable"
"Bos gaurus","1994","V","Vulnerable"
"Bos gaurus","1990","V","Vulnerable"
"Bos gaurus","1988","V","Vulnerable"
"Bos gaurus","1986","V","Vulnerable"
"Bos gaurus","1965",NA,"""Very rare and believed to be decreasing in numbers"""
"Bos mutus","2016","VU","Vulnerable"
"Bos mutus","2008","VU","Vulnerable"
"Bos mutus","2000","VU","Vulnerable"
"Bos mutus","1996","VU","Vulnerable"
"Bos mutus","1994","E","Endangered"
"Bos mutus","1990","E","Endangered"
"Bos mutus","1988","E","Endangered"
"Bos mutus","1986","E","Endangered"
"Bossiaea oxyclada","2012","VU","Vulnerable"
"Boswellia ameero","2004","VU","Vulnerable"
"Boswellia ameero","1998","nt","Not Threatened"
"Boswellia ameero","1998","VU","Vulnerable"
"Boswellia bullata","2004","VU","Vulnerable"
"Boswellia dioscoridis","2004","VU","Vulnerable"
"Boswellia elongata","2004","VU","Vulnerable"
"Boswellia elongata","1998","nt","Not Threatened"
"Boswellia elongata","1998","VU","Vulnerable"
"Boswellia nana","2004","VU","Vulnerable"
"Boswellia ogadensis","1998","E","Endangered"
"Boswellia ogadensis","1998","VU","Vulnerable"
"Boswellia ovalifoliolata","2015","VU","Vulnerable"
"Boswellia popoviana","2004","VU","Vulnerable"
"Boswellia popoviana","1998","VU","Vulnerable"
"Boswellia socotrana","2004","VU","Vulnerable"
"Boswellia socotrana","1998","nt","Not Threatened"
"Boswellia socotrana","1998","VU","Vulnerable"
"Boswellia sp. A","2015","VU","Vulnerable"
"Boswellia sp. A","2004","VU","Vulnerable"
"Bothriechis aurifer","2014","VU","Vulnerable"
"Bothriechis aurifer","2007","VU","Vulnerable"
"Bothriechis rowleyi","2007","VU","Vulnerable"
"Bothriembryon bradshaweri","1996","VU","Vulnerable"
"Bothriembryon brazieri","1996","VU","Vulnerable"
"Bothriembryon brazieri","1994","V","Vulnerable"
"Bothriembryon glauerti","1996","VU","Vulnerable"
"Bothriembryon glauerti","1994","V","Vulnerable"
"Bothriembryon irvineanus","1996","VU","Vulnerable"
"Bothriembryon irvineanus","1994","V","Vulnerable"
"Bothriembryon spenceri","1996","VU","Vulnerable"
"Bothriembryon spenceri","1994","V","Vulnerable"
"Bothriembryon whitleyi","1996","VU","Vulnerable"
"Bothriocline nyungwensis","2017","VU","Vulnerable"
"Bothrops pirajai","2000","VU","Vulnerable"
"Botia rostrata","2010","VU","Vulnerable"
"Bottiella cucutensis","2008","VU","Vulnerable"
"Bottiella medemi","2008","VU","Vulnerable"
"Boucardicus albocinctus","2000","VU","Vulnerable"
"Boucardicus antiquus","2000","VU","Vulnerable"
"Boucardicus rakotoarisoni","2000","VU","Vulnerable"
"Boucardicus tridentatus","2000","VU","Vulnerable"
"Boulengerula fischeri","2016","VU","Vulnerable"
"Boulengerula fischeri","2004","DD","Data Deficient"
"Boutiquea platypetala","2014","VU","Vulnerable"
"Boutiquea platypetala","2000","EN","Endangered"
"Brachaelurus colcloughi","2015","VU","Vulnerable"
"Brachaelurus colcloughi","2009","VU","Vulnerable"
"Brachaelurus colcloughi","2000","VU","Vulnerable"
"Brachionidium capillare","2013","VU","Vulnerable"
"Brachionidium diaphanum","2013","VU","Vulnerable"
"Brachychiton carruthersii","1998","VU","Vulnerable"
"Brachychiton velutinosus","1998","VU","Vulnerable"
"Brachycorythis disoides","2016","VU","Vulnerable"
"Brachyglottis huntii","1998","R","Rare"
"Brachyglottis huntii","1998","VU","Vulnerable"
"Brachyglottis pentacopa","1998","VU","Vulnerable"
"Brachyotum azuayense","2004","VU","Vulnerable"
"Brachyotum benthamianum","2004","VU","Vulnerable"
"Brachyotum fictum","2004","VU","Vulnerable"
"Brachyotum fraternum","2004","VU","Vulnerable"
"Brachyotum gleasonii","2004","VU","Vulnerable"
"Brachyotum gleasonii","1998","V","Vulnerable"
"Brachyotum gleasonii","1998","VU","Vulnerable"
"Brachyotum gracilescens","2004","VU","Vulnerable"
"Brachyotum harlingii","2004","VU","Vulnerable"
"Brachyotum incrassatum","2004","VU","Vulnerable"
"Brachyotum jamesonii","2004","VU","Vulnerable"
"Brachyotum johannes-julii","2004","VU","Vulnerable"
"Brachyotum rugosum","2004","VU","Vulnerable"
"Brachyotum russatum","2004","VU","Vulnerable"
"Brachypteracias leptosomus","2016","VU","Vulnerable"
"Brachypteracias leptosomus","2012","VU","Vulnerable"
"Brachypteracias leptosomus","2008","VU","Vulnerable"
"Brachypteracias leptosomus","2004","VU","Vulnerable"
"Brachypteracias leptosomus","2000","VU","Vulnerable"
"Brachypteracias leptosomus","1996","VU","Vulnerable"
"Brachypteracias leptosomus","1994","VU","Vulnerable"
"Brachypteracias leptosomus","1988","T","Threatened"
"Brachystegia bakeriana","1998","K","Insufficiently Known"
"Brachystegia bakeriana","1998","VU","Vulnerable"
"Brachystegia kennedyi","1998","K","Insufficiently Known"
"Brachystegia kennedyi","1998","VU","Vulnerable"
"Brachystegia nigerica","1998","VU","Vulnerable"
"Brachystelma omissum","2014","VU","Vulnerable"
"Brachystephanus giganteus","2014","VU","Vulnerable"
"Brachystephanus giganteus","2004","VU","Vulnerable"
