"name","before","after","N/G","year","state1","state2","result.year"
"Dendroplex kienerii","LC","NT","G","2012.1",1,2,2012
"Dicrurus megarhynchus","LC","NT","N","2012.1",1,2,2012
"Discosura popelairii","LC","NT","G","2012.1",1,2,2012
"Ducula whartoni","VU","NT","N","2012.1",3,2,2012
"Dysithamnus leucostictus","LC","VU","G","2012.1",1,3,2012
"Erythrotriorchis radiatus","VU","NT","N","2012.1",3,2,2012
"Erythrura gouldiae","EN","NT","G","2012.1",4,2,2012
"Eubucco versicolor","LC","NT","G","2012.1",1,2,2012
"Falco cherrug","VU","EN","N","2012.1",3,4,2012
"Falco deiroleucus","LC","NT","G","2012.1",1,2,2012
"Falco hypoleucos","NT","VU","N","2012.1",2,3,2012
"Formicivora littoralis","CR","EN","N","2012.1",5,4,2012
"Francolinus griseostriatus","NT","LC","N","2012.1",2,1,2012
"Geophaps smithii","NT","VU","G","2012.1",2,3,2012
"Geotrygon saphirina","LC","VU","G","2012.1",1,3,2012
"Gerygone modesta","VU","NT","N","2012.1",3,2,2012
"Grallaria milleri","EN","VU","N","2012.1",4,3,2012
"Grallaria przewalskii","LC","VU","G","2012.1",1,3,2012
"Grallaria watkinsi","LC","NT","N","2012.1",1,2,2012
"Grallaricula flavirostris","LC","NT","G","2012.1",1,2,2012
"Gyps africanus","NT","EN","G","2012.1",2,4,2012
"Gyps rueppellii","NT","EN","G","2012.1",2,4,2012
"Heliodoxa gularis","NT","VU","G","2012.1",2,3,2012
"Hemispingus parodii","LC","NT","G","2012.1",1,2,2012
"Hemitriccus cinnamomeipectus","NT","VU","N","2012.1",2,3,2012
"Herpsilochmus axillaris","LC","VU","G","2012.1",1,3,2012
"Herpsilochmus motacilloides","LC","NT","G","2012.1",1,2,2012
"Hylexetastes brigidai","LC","VU","G","2012.1",1,3,2012
"Hylexetastes uniformis","LC","VU","G","2012.1",1,3,2012
"Hylophilus olivaceus","LC","NT","G","2012.1",1,2,2012
"Hypocnemis cantator","LC","NT","G","2012.1",1,2,2012
"Hypopyrrhus pyrohypogaster","EN","VU","N","2012.1",4,3,2012
"Irena cyanogastra","LC","NT","N","2012.1",1,2,2012
"Lepidothrix iris","LC","VU","G","2012.1",1,3,2012
"Lepidothrix isidorei","LC","NT","G","2012.1",1,2,2012
"Leptopogon taczanowskii","LC","NT","G","2012.1",1,2,2012
"Lophornis gouldii","LC","VU","G","2012.1",1,3,2012
"Lophura edwardsi","EN","CR","N","2012.1",4,5,2012
"Lorius domicella","VU","EN","G","2012.1",3,4,2012
"Malaconotus monteiri","DD","NT","N","2012.1",0,2,2012
"Megascops barbarus","NT","VU","N","2012.1",2,3,2012
"Melanitta fusca","LC","EN","G","2012.1",1,4,2012
"Merops mentalis","LC","NT","N","2012.1",1,2,2012
"Metallura odomae","NT","LC","N","2012.1",2,1,2012
"Mitu tomentosum","LC","NT","G","2012.1",1,2,2012
"Myrmoborus lugubris","LC","VU","G","2012.1",1,3,2012
"Myrmoborus melanurus","NT","VU","G","2012.1",2,3,2012
"Myrmornis torquata","LC","NT","G","2012.1",1,2,2012
"Myrmotherula grisea","NT","LC","N","2012.1",2,1,2012
"Myrmotherula gutturalis","LC","NT","G","2012.1",1,2,2012
"Myrmotherula surinamensis","LC","VU","G","2012.1",1,3,2012
"Neochmia ruficauda","NT","LC","N","2012.1",2,1,2012
"Neomorphus squamiger","NT","VU","G","2012.1",2,3,2012
"Nothocercus nigrocapillus","LC","VU","G","2012.1",1,3,2012
"Oceanodroma monorhis","LC","NT","N","2012.1",1,2,2012
"Odontophorus gujanensis","LC","NT","G","2012.1",1,2,2012
"Odontophorus speciosus","LC","NT","G","2012.1",1,2,2012
"Odontorchilus cinereus","LC","NT","G","2012.1",1,2,2012
"Ortalis superciliaris","NT","LC","N","2012.1",2,1,2012
"Pachycephala rufogularis","NT","VU","G","2012.1",2,3,2012
"Patagioenas subvinacea","LC","VU","G","2012.1",1,3,2012
"Penelope pileata","NT","VU","G","2012.1",2,3,2012
"Penelopides exarhatus","LC","VU","N","2012.1",1,3,2012
"Percnostola lophotes","LC","NT","G","2012.1",1,2,2012
"Periporphyrus erythromelas","LC","NT","N","2012.1",1,2,2012
"Pezoporus occidentalis","CR","EN","N","2012.1",5,4,2012
"Phlogophilus hemileucurus","NT","VU","G","2012.1",2,3,2012
"Phoebastria nigripes","EN","VU","N","2012.1",4,3,2012
"Phylloscartes gualaquizae","LC","NT","G","2012.1",1,2,2012
"Picumnus fuscus","NT","LC","N","2012.1",2,1,2012
"Picumnus minutissimus","LC","NT","G","2012.1",1,2,2012
"Picumnus spilogaster","LC","VU","G","2012.1",1,3,2012
"Picumnus steindachneri","VU","EN","G","2012.1",3,4,2012
"Picumnus varzeae","LC","EN","G","2012.1",1,4,2012
"Pionites leucogaster","LC","VU","G","2012.1",1,3,2012
"Pipile cumanensis","LC","VU","G","2012.1",1,3,2012
"Podiceps gallardoi","EN","CR","G","2012.1",4,5,2012
"Poecilotriccus luluae","VU","EN","G","2012.1",3,4,2012
"Poephila cincta","NT","LC","N","2012.1",2,1,2012
"Polytelis swainsonii","VU","LC","N","2012.1",3,1,2012
"Pomarea dimidiata","EN","VU","G","2012.1",4,3,2012
"Pomarea mira","EX","CR(PE)","N","2012.1",7,5,2012
"Prioniturus verticalis","EN","CR","G","2012.1",4,5,2012
"Progne modesta","VU","EN","N","2012.1",3,4,2012
"Progne sinaloae","DD","VU","N","2012.1",0,3,2012
"Psittacus erithacus","NT","VU","N","2012.1",2,3,2012
"Psophia viridis","LC","EN","G","2012.1",1,4,2012
"Psophodes nigrogularis","NT","LC","N","2012.1",2,1,2012
"Pteroglossus bitorquatus","LC","NT","G","2012.1",1,2,2012
"Puffinus yelkouan","NT","VU","G","2012.1",2,3,2012
"Pygoscelis adeliae","LC","NT","N","2012.1",1,2,2012
"Pyrilia barrabandi","LC","NT","G","2012.1",1,2,2012
"Pyrilia caica","LC","NT","G","2012.1",1,2,2012
"Pyrilia vulturina","LC","VU","G","2012.1",1,3,2012
"Pyrrhura lepida","NT","VU","G","2012.1",2,3,2012
"Pyrrhura perlata","LC","VU","G","2012.1",1,3,2012
"Pyrrhura rupicola","LC","NT","G","2012.1",1,2,2012
