"name","result.year","state","TSFO","change.status"
"Acanthiza iredalei",2012,1,18,"U"
"Acanthiza iredalei",2016,1,22,"U"
"Acanthiza katherina",1994,2,0,"U"
"Acanthiza katherina",1996,2,2,"U"
"Acanthiza katherina",2000,1,6,"U"
"Acanthiza katherina",2004,1,10,"U"
"Acanthiza katherina",2008,1,14,"U"
"Acanthiza katherina",2009,1,15,"U"
"Acanthiza katherina",2012,1,18,"U"
"Acanthiza katherina",2016,1,22,"U"
"Acanthiza lineata",1994,1,0,"U"
"Acanthiza lineata",2000,1,6,"U"
"Acanthiza lineata",2004,1,10,"U"
"Acanthiza lineata",2008,1,14,"U"
"Acanthiza lineata",2009,1,15,"U"
"Acanthiza lineata",2012,1,18,"U"
"Acanthiza lineata",2016,1,22,"U"
"Acanthiza murina",1994,1,0,"U"
"Acanthiza murina",2000,1,6,"U"
"Acanthiza murina",2004,1,10,"U"
"Acanthiza murina",2008,1,14,"U"
"Acanthiza murina",2009,1,15,"U"
"Acanthiza murina",2012,1,18,"U"
"Acanthiza murina",2016,1,22,"U"
"Acanthiza nana",1994,1,0,"U"
"Acanthiza nana",2000,1,6,"U"
"Acanthiza nana",2004,1,10,"U"
"Acanthiza nana",2008,1,14,"U"
"Acanthiza nana",2009,1,15,"U"
"Acanthiza nana",2012,1,18,"U"
"Acanthiza nana",2016,1,22,"U"
"Acanthiza pusilla",1994,1,0,"U"
"Acanthiza pusilla",2000,1,6,"U"
"Acanthiza pusilla",2004,1,10,"U"
"Acanthiza pusilla",2008,1,14,"U"
"Acanthiza pusilla",2009,1,15,"U"
"Acanthiza pusilla",2012,1,18,"U"
"Acanthiza pusilla",2016,1,22,"U"
"Acanthiza reguloides",1994,1,0,"U"
"Acanthiza reguloides",2000,1,6,"U"
"Acanthiza reguloides",2004,1,10,"U"
"Acanthiza reguloides",2008,1,14,"U"
"Acanthiza reguloides",2009,1,15,"U"
"Acanthiza reguloides",2012,1,18,"U"
"Acanthiza reguloides",2016,1,22,"U"
"Acanthiza robustirostris",1994,1,0,"U"
"Acanthiza robustirostris",2000,1,6,"U"
"Acanthiza robustirostris",2004,1,10,"U"
"Acanthiza robustirostris",2008,1,14,"U"
"Acanthiza robustirostris",2009,1,15,"U"
"Acanthiza robustirostris",2012,1,18,"U"
"Acanthiza robustirostris",2016,1,22,"U"
"Acanthiza uropygialis",1994,1,0,"U"
"Acanthiza uropygialis",2000,1,6,"U"
"Acanthiza uropygialis",2004,1,10,"U"
"Acanthiza uropygialis",2008,1,14,"U"
"Acanthiza uropygialis",2009,1,15,"U"
"Acanthiza uropygialis",2012,1,18,"U"
"Acanthiza uropygialis",2016,1,22,"U"
"Acanthobrama centisquama",2006,4,0,"U"
"Acanthobrama centisquama",2014,5,8,"N"
"Acanthobrama lissneri",2006,1,0,"U"
"Acanthobrama lissneri",2014,2,8,"N"
"Acanthobrama telavivensis",2006,6,0,"U"
"Acanthobrama telavivensis",2014,3,8,"G"
"Acanthocereus tetragonus",2013,1,0,"U"
"Acanthocereus tetragonus",2017,1,4,"U"
"Acanthochelys pallidipectoris",1996,3,0,"U"
"Acanthochelys pallidipectoris",2016,4,20,"G"
"Acanthocobitis urophthalmus",1994,3,0,"U"
"Acanthocobitis urophthalmus",1996,2,2,"U"
"Acanthodactylus arabicus",2010,1,0,"U"
"Acanthodactylus arabicus",2012,1,2,"U"
"Acanthodactylus erythrurus",2006,1,0,"U"
"Acanthodactylus erythrurus",2009,1,3,"U"
"Acanthodactylus haasi",2010,1,0,"U"
"Acanthodactylus haasi",2012,1,2,"U"
"Acanthodactylus schreiberi",2006,4,0,"U"
"Acanthodactylus schreiberi",2009,4,3,"U"
"Acanthopagrus berda",2014,1,0,"U"
"Acanthopagrus berda",2017,1,3,"U"
"Acanthopale decempedalis",2004,3,0,"U"
"Acanthopale decempedalis",2014,3,10,"U"
"Acanthophis rugosus",2010,1,0,"U"
"Acanthophis rugosus",2015,1,5,"U"
"Acanthoptila nipalensis",1994,1,0,"U"
"Acanthoptila nipalensis",2000,1,6,"U"
"Acanthoptila nipalensis",2004,1,10,"U"
"Acanthoptila nipalensis",2008,1,14,"U"
"Acanthoptila nipalensis",2009,1,15,"U"
"Acanthoptila nipalensis",2012,1,18,"U"
"Acanthoptila nipalensis",2016,1,22,"U"
"Acanthorhynchus superciliosus",1994,1,0,"U"
"Acanthorhynchus superciliosus",2000,1,6,"U"
"Acanthorhynchus superciliosus",2004,1,10,"U"
"Acanthorhynchus superciliosus",2008,1,14,"U"
"Acanthorhynchus superciliosus",2009,1,15,"U"
"Acanthorhynchus superciliosus",2012,1,18,"U"
"Acanthorhynchus superciliosus",2016,1,22,"U"
