"name","result.year","result.code","result.category"
"Hyloxalus ruizi","2004","CR","Critically Endangered"
"Hyloxalus vertebralis","2004","CR","Critically Endangered"
"Hymenodictyon seyrigii","2015","CR","Critically Endangered"
"Hymenophyllum contractile","2003","CR","Critically Endangered"
"Hymenophyllum helicoideum","2003","CR","Critically Endangered"
"Hymenophyllum tenerum","2003","CR","Critically Endangered"
"Hymenostegia talbotii","1998","CR","Critically Endangered"
"Hymenostegia talbotii","1998","E","Endangered"
"Hynobius abei","2004","CR","Critically Endangered"
"Hynobius abei","1996","EN","Endangered"
"Hynobius abei","1994","E","Endangered"
"Hynobius amjiensis","2004","CR","Critically Endangered"
"Hynobius okiensis","2004","CR","Critically Endangered"
"Hynobius okiensis","1996","EN","Endangered"
"Hynobius okiensis","1994","R","Rare"
"Hyophorbe amaricaulis","2000","CR","Critically Endangered"
"Hyophorbe amaricaulis","1998","CR","Critically Endangered"
"Hyophorbe lagenicaulis","1998","CR","Critically Endangered"
"Hyophorbe vaughanii","2000","CR","Critically Endangered"
"Hyophorbe vaughanii","1998","CR","Critically Endangered"
"Hyophorbe verschaffeltii","1998","CR","Critically Endangered"
"Hypericum fissurale","2014","CR","Critically Endangered"
"Hypericum hartwegii","2004","CR","Critically Endangered"
"Hyperolius davenporti","2016","CR","Critically Endangered"
"Hyperolius ruvuensis","2016","CR","Critically Endangered"
"Hyperolius tanneri","2015","CR","Critically Endangered"
"Hyperolius tanneri","2004","EN","Endangered"
"Hyperolius watsonae","2008","CR","Critically Endangered"
"Hypochaeris oligocephala","2011","CR","Critically Endangered"
"Hypodactylus lucida","2004","CR","Critically Endangered"
"Hypolytrum subcompositus","2004","CR","Critically Endangered"
"Hypomesus transpacificus","2014","CR","Critically Endangered"
"Hypomesus transpacificus","1996","EN","Endangered"
"Hypomesus transpacificus","1994","V","Vulnerable"
"Hypomesus transpacificus","1990","V","Vulnerable"
"Hyporthodus nigritus","2006","CR","Critically Endangered"
"Hyporthodus nigritus","1996","CR","Critically Endangered"
"Hypselobarbus pulchellus","2011","CR","Critically Endangered"
"Hypselobarbus pulchellus","2009","DD","Data Deficient"
