"name","result.year","result.code","result.category"
"Aepypodius bruijnii","1996","VU","Vulnerable"
"Aepypodius bruijnii","1994","VU","Vulnerable"
"Aepypodius bruijnii","1988","T","Threatened"
"Aequatorium asterotrichum","2017","EN","Endangered"
"Aequatorium asterotrichum","2003","EN","Endangered"
"Aequatorium asterotrichum","1998","VU","Vulnerable"
"Aequatorium lepidotum","2003","EN","Endangered"
"Aeranthes antennophora","2015","EN","Endangered"
"Aeranthes neoperrieri","2015","EN","Endangered"
"Aeranthes setipes","2015","EN","Endangered"
"Aerides lawrenciae","2004","EN","Endangered"
"Aerodramus bartschi","2016","EN","Endangered"
"Aerodramus bartschi","2012","EN","Endangered"
"Aerodramus bartschi","2008","EN","Endangered"
"Aerodramus bartschi","2004","EN","Endangered"
"Aerodramus bartschi","2000","EN","Endangered"
"Aerodramus bartschi","1994","NR","Not Recognized"
"Aerodramus bartschi","1988","NR","Not Recognized"
"Aeschynomene gazensis","2017","EN","Endangered"
"Aeschynomene laxiflora","2016","EN","Endangered"
"Aetheolaena decipiens","2003","EN","Endangered"
"Aetheolaena mochensis","2003","EN","Endangered"
"Aetheolaena subinvolucrata","2003","EN","Endangered"
"Aethiothemis modesta","2017","EN","Endangered"
"Aethopyga duyvenbodei","2016","EN","Endangered"
"Aethopyga duyvenbodei","2012","EN","Endangered"
"Aethopyga duyvenbodei","2008","EN","Endangered"
"Aethopyga duyvenbodei","2004","EN","Endangered"
"Aethopyga duyvenbodei","2000","EN","Endangered"
"Aethopyga duyvenbodei","1996","EN","Endangered"
"Aethopyga duyvenbodei","1994","EN","Endangered"
"Aethopyga duyvenbodei","1988","T","Threatened"
"Aetobatus flagellum","2006","EN","Endangered"
"Aetomylaeus maculatus","2006","EN","Endangered"
"Aetomylaeus milvus","2017","EN","Endangered"
"Aetomylaeus vespertilio","2016","EN","Endangered"
"Aetomylaeus vespertilio","2006","EN","Endangered"
"Africanogyrus starmuehlneri","2016","EN","Endangered"
"Africanogyrus starmuehlneri","1996","EN","Endangered"
"Africocypha varicolor","2017","EN","Endangered"
"Afrithelphusa monodosa","1996","CR","Critically Endangered"
"Afrithelphusa monodosa","1996","EN","Endangered"
"Afrixalus clarkei","2013","EN","Endangered"
"Afrixalus clarkei","2004","VU","Vulnerable"
"Afrixalus dorsimaculatus","2016","EN","Endangered"
"Afrixalus dorsimaculatus","2008","VU","Vulnerable"
"Afrixalus knysnae","2016","EN","Endangered"
